id_registro,codigo_equipo,fecha,tipo_mantenimiento,categoria_falla,urgencia,descripcion,costo_soles,tecnico,prioridad,horas_intervencion,estado_post
R00048,EQ-001,2022-09-06,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,2176.22,L. Quispe,Alta,7.2,Operativo
R00019,EQ-001,2022-09-15,Correctivo,Desgaste,Media,Componente al final de vida útil,300.96,J. Ramírez,Media,2.0,Operativo
R00004,EQ-001,2022-10-28,Preventivo,—,Programado,Mantenimiento preventivo programado,118.22,A. Flores,Baja,1.2,Operativo
R00065,EQ-001,2022-11-13,Correctivo,Mecánica,Media,Obstrucción de circuito,1720.58,L. Quispe,Media,2.1,Operativo
R00043,EQ-001,2022-12-12,Correctivo,Sensores,Media,Sensor de flujo defectuoso,1094.56,A. Flores,Media,5.2,Operativo
R00064,EQ-001,2023-01-20,Correctivo,Eléctrica,Alta,Falla en cargador,1083.47,J. Ramírez,Alta,1.9,Operativo
R00038,EQ-001,2023-01-21,Correctivo,Sensores,Alta,Sensor SpO2 descalibrado,1031.31,L. Quispe,Alta,7.1,Operativo
R00067,EQ-001,2023-01-24,Correctivo,Mecánica,Alta,Desgaste de válvula,1344.99,A. Flores,Alta,4.5,Operativo
R00005,EQ-001,2023-02-01,Preventivo,—,Programado,Mantenimiento preventivo programado,106.37,M. Torres,Baja,0.9,Operativo
R00039,EQ-001,2023-02-24,Correctivo,Calibración,Alta,Desviación de medición,491.55,J. Ramírez,Alta,3.9,Operativo
R00022,EQ-001,2023-04-23,Correctivo,Desgaste,Media,Acumulación de horas de uso,468.29,L. Quispe,Media,4.5,Operativo
R00006,EQ-001,2023-05-02,Preventivo,—,Programado,Mantenimiento preventivo programado,157.9,M. Torres,Baja,0.9,Operativo
R00020,EQ-001,2023-05-04,Correctivo,Mecánica,Alta,Falla en bomba peristáltica,1510.28,M. Torres,Alta,7.4,Operativo
R00007,EQ-001,2023-08-03,Preventivo,—,Programado,Mantenimiento preventivo programado,,A. Flores,Baja,0.9,Operativo
R00046,EQ-001,2023-08-09,Correctivo,Mecánica,Alta,Holgura en soporte,1140.46,L. Quispe,Alta,2.7,En observación
R00008,EQ-001,2023-11-03,Preventivo,—,Programado,Mantenimiento preventivo programado,107.64,A. Flores,Baja,0.9,Operativo
R00034,EQ-001,2023-11-19,Correctivo,Calibración,Alta,Ajuste de cero requerido,543.26,A. Flores,Alta,2.4,Operativo
R00052,EQ-001,2023-11-30,Correctivo,Mecánica,Media,Obstrucción de circuito,916.32,J. Ramírez,Media,3.9,En observación
R00009,EQ-001,2024-01-22,Preventivo,—,Programado,Mantenimiento preventivo programado,153.55,A. Flores,Baja,0.5,Operativo
R00023,EQ-001,2024-02-09,Correctivo,Mecánica,Alta,Rotura de manguera,1335.48,J. Ramírez,Alta,5.3,En observación
R00026,EQ-001,2024-04-05,Correctivo,Calibración,Baja,Calibración vencida,193.89,J. Ramírez,Baja,1.8,En observación
R00010,EQ-001,2024-04-12,Preventivo,—,Programado,Mantenimiento preventivo programado,73.08,L. Quispe,Baja,0.9,Operativo
R00060,EQ-001,2024-05-01,Correctivo,Sensores,Media,Sensor SpO2 descalibrado,2295.83,M. Torres,Media,2.1,En observación
R00029,EQ-001,2024-05-08,Correctivo,Software,Baja,Pantalla congelada,380.79,M. Torres,Baja,7.7,Operativo
R00021,EQ-001,2024-05-23,Correctivo,Sensores,Alta,Termistor fuera de rango,959.92,J. Ramírez,Alta,7.1,Operativo
R00062,EQ-001,2024-05-25,Correctivo,Sensores,Alta,Termistor fuera de rango,980.87,J. Ramírez,Alta,2.6,Operativo
R00011,EQ-001,2024-07-20,Preventivo,—,Programado,Mantenimiento preventivo programado,142.68,J. Ramírez,Baja,1.3,Operativo
R00058,EQ-001,2024-07-27,Correctivo,Eléctrica,Baja,Fusible quemado,946.85,A. Flores,Baja,5.0,Operativo
R00031,EQ-001,2024-08-09,Correctivo,Mecánica,Baja,Obstrucción de circuito,1666.26,L. Quispe,Baja,6.9,En observación
R00032,EQ-001,2024-08-09,Correctivo,Mecánica,Alta,Rotura de manguera,1222.37,A. Flores,Alta,1.7,Operativo
R00035,EQ-001,2024-08-29,Correctivo,Sensores,Alta,Sensor SpO2 descalibrado,2123.94,J. Ramírez,Alta,1.7,Operativo
R00012,EQ-001,2024-10-09,Preventivo,—,Programado,Mantenimiento preventivo programado,86.82,M. Torres,Baja,0.6,Operativo
R00059,EQ-001,2024-10-18,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,1173.7,M. Torres,Alta,4.4,En observación
R00051,EQ-001,2024-11-25,Correctivo,Eléctrica,Alta,Cortocircuito en placa,532.1,M. Torres,Alta,1.5,Operativo
R00055,EQ-001,2024-12-15,Correctivo,Mecánica,Alta,Desgaste de válvula,,M. Torres,Alta,1.7,Operativo
R00030,EQ-001,2024-12-25,Correctivo,Software,Alta,Error de comunicación,77.1,L. Quispe,Alta,3.8,Operativo
R00013,EQ-001,2025-01-15,Preventivo,—,Programado,Mantenimiento preventivo programado,118.79,A. Flores,Baja,1.1,Operativo
R00053,EQ-001,2025-03-02,Correctivo,Desgaste,Alta,Componente al final de vida útil,508.76,J. Ramírez,Alta,3.9,Operativo
R00014,EQ-001,2025-04-15,Preventivo,—,Programado,Mantenimiento preventivo programado,77.3,L. Quispe,Baja,1.3,Operativo
R00037,EQ-001,2025-04-29,Correctivo,Mecánica,Baja,Rotura de manguera,546.36,J. Ramírez,Baja,5.9,Operativo
R00036,EQ-001,2025-06-11,Correctivo,Software,Alta,Error de firmware,,A. Flores,Alta,3.6,Operativo
R00015,EQ-001,2025-07-05,Preventivo,—,Programado,Mantenimiento preventivo programado,160.69,A. Flores,Baja,1.2,Operativo
R00045,EQ-001,2025-07-29,Correctivo,Sensores,Baja,Sensor SpO2 descalibrado,364.26,M. Torres,Baja,5.7,Operativo
R00016,EQ-001,2025-09-30,Preventivo,—,Programado,Mantenimiento preventivo programado,103.65,L. Quispe,Baja,1.4,Operativo
R00056,EQ-001,2025-11-03,Correctivo,Desgaste,Alta,Filtro saturado,228.88,M. Torres,Alta,3.0,Operativo
R00044,EQ-001,2026-01-01,Correctivo,Calibración,Alta,Calibración vencida,420.5,L. Quispe,Alta,7.6,Operativo
R00017,EQ-001,2026-01-06,Preventivo,—,Programado,Mantenimiento preventivo programado,173.83,J. Ramírez,Baja,0.8,Operativo
R00054,EQ-001,2026-02-19,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,2362.49,L. Quispe,Alta,5.1,Operativo
R00041,EQ-001,2026-03-23,Correctivo,Eléctrica,Alta,Falla en cargador,1033.19,J. Ramírez,Alta,2.5,En observación
R00018,EQ-001,2026-03-28,Preventivo,—,Programado,Mantenimiento preventivo programado,127.67,M. Torres,Baja,1.0,Operativo
R00111,EQ-002,2022-01-03,Correctivo,Software,Alta,Error de comunicación,210.26,L. Quispe,Alta,1.5,Operativo
R00068,EQ-002,2022-01-12,Preventivo,—,Programado,Mantenimiento preventivo programado,166.21,M. Torres,Baja,1.3,Operativo
R00096,EQ-002,2022-03-05,Correctivo,Sensores,Media,Termistor fuera de rango,453.57,L. Quispe,Media,2.9,Operativo
R00069,EQ-002,2022-04-14,Preventivo,—,Programado,Mantenimiento preventivo programado,99.85,L. Quispe,Baja,1.4,Operativo
R00115,EQ-002,2022-04-29,Correctivo,Sensores,Alta,Termistor fuera de rango,574.01,M. Torres,Alta,3.7,Operativo
R00106,EQ-002,2022-06-02,Correctivo,Desgaste,Baja,Acumulación de horas de uso,165.33,J. Ramírez,Baja,5.9,Operativo
R00091,EQ-002,2022-06-05,Correctivo,Mecánica,Alta,Rotura de manguera,807.49,J. Ramírez,Alta,7.5,Operativo
R00100,EQ-002,2022-06-05,Correctivo,Software,Media,Error de comunicación,206.4,A. Flores,Media,1.3,Operativo
R00070,EQ-002,2022-07-21,Preventivo,—,Programado,Mantenimiento preventivo programado,74.7,J. Ramírez,Baja,1.6,Operativo
R00071,EQ-002,2022-10-24,Preventivo,—,Programado,Mantenimiento preventivo programado,107.74,M. Torres,Baja,1.0,Operativo
R00129,EQ-002,2022-12-02,Correctivo,Desgaste,Baja,Componente al final de vida útil,267.78,J. Ramírez,Baja,4.4,En observación
R00086,EQ-002,2022-12-04,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,563.75,A. Flores,Alta,7.3,Operativo
R00072,EQ-002,2023-01-21,Preventivo,—,Programado,Mantenimiento preventivo programado,178.17,L. Quispe,Baja,2.0,Operativo
R00119,EQ-002,2023-03-18,Correctivo,Software,Alta,Falla en calibración digital,107.85,J. Ramírez,Alta,3.5,Operativo
R00089,EQ-002,2023-03-20,Correctivo,Software,Alta,Error de firmware,191.42,J. Ramírez,Alta,5.5,En observación
R00116,EQ-002,2023-04-06,Correctivo,Software,Alta,Error de firmware,319.72,A. Flores,Alta,5.3,Operativo
R00087,EQ-002,2023-04-11,Correctivo,Eléctrica,Media,Falla en cargador,205.41,J. Ramírez,Media,6.7,Operativo
R00073,EQ-002,2023-04-20,Preventivo,—,Programado,Mantenimiento preventivo programado,176.22,J. Ramírez,Baja,1.0,Operativo
R00123,EQ-002,2023-06-27,Correctivo,Calibración,Alta,Calibración vencida,199.82,L. Quispe,Alta,5.4,En observación
R00109,EQ-002,2023-07-04,Correctivo,Sensores,Media,Termistor fuera de rango,980.07,A. Flores,Media,6.0,Operativo
R00074,EQ-002,2023-07-12,Preventivo,—,Programado,Mantenimiento preventivo programado,62.67,J. Ramírez,Baja,0.9,Operativo
R00104,EQ-002,2023-07-13,Correctivo,Sensores,Alta,Error de lectura de presión,334.77,J. Ramírez,Alta,7.6,Operativo
R00102,EQ-002,2023-07-27,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,188.15,M. Torres,Alta,1.1,Operativo
R00097,EQ-002,2023-09-15,Correctivo,Sensores,Media,Sensor SpO2 descalibrado,1100.78,A. Flores,Media,1.3,Operativo
R00090,EQ-002,2023-09-23,Correctivo,Software,Alta,Error de firmware,103.81,L. Quispe,Alta,6.6,Operativo
R00075,EQ-002,2023-10-15,Preventivo,—,Programado,Mantenimiento preventivo programado,83.62,J. Ramírez,Baja,1.7,Operativo
R00126,EQ-002,2023-10-31,Correctivo,Calibración,Media,Ajuste de cero requerido,218.48,L. Quispe,Media,3.5,Operativo
R00101,EQ-002,2023-11-16,Correctivo,Sensores,Alta,Termistor fuera de rango,297.92,J. Ramírez,Alta,5.5,Operativo
R00093,EQ-002,2023-11-18,Correctivo,Eléctrica,Media,Falla en fuente de poder,462.83,J. Ramírez,Media,3.6,Operativo
R00103,EQ-002,2023-11-19,Correctivo,Software,Alta,Error de firmware,232.11,L. Quispe,Alta,3.0,Operativo
R00099,EQ-002,2023-12-04,Correctivo,Software,Alta,Pantalla congelada,146.57,M. Torres,Alta,1.7,Operativo
R00117,EQ-002,2023-12-21,Correctivo,Eléctrica,Alta,Fusible quemado,146.65,L. Quispe,Alta,4.4,Operativo
R00076,EQ-002,2024-01-08,Preventivo,—,Programado,Mantenimiento preventivo programado,149.59,J. Ramírez,Baja,1.1,Operativo
R00127,EQ-002,2024-03-19,Correctivo,Sensores,Alta,Error de lectura de presión,1001.43,J. Ramírez,Alta,5.2,Operativo
R00124,EQ-002,2024-03-31,Correctivo,Sensores,Media,Error de lectura de presión,,J. Ramírez,Media,2.0,Operativo
R00077,EQ-002,2024-04-07,Preventivo,—,Programado,Mantenimiento preventivo programado,137.57,L. Quispe,Baja,1.2,Operativo
R00121,EQ-002,2024-05-05,Correctivo,Eléctrica,Alta,Cortocircuito en placa,,J. Ramírez,Alta,7.1,En observación
R00130,EQ-002,2024-06-01,Correctivo,Software,Media,Pantalla congelada,285.93,L. Quispe,Media,6.7,Operativo
R00131,EQ-002,2024-07-02,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,,M. Torres,Alta,4.5,En observación
R00078,EQ-002,2024-07-12,Preventivo,—,Programado,Mantenimiento preventivo programado,74.43,J. Ramírez,Baja,1.8,Operativo
R00113,EQ-002,2024-08-24,Correctivo,Eléctrica,Alta,Falla en fuente de poder,132.36,A. Flores,Alta,7.2,Operativo
R00120,EQ-002,2024-08-30,Correctivo,Eléctrica,Alta,Falla en fuente de poder,558.17,A. Flores,Alta,7.7,Operativo
R00107,EQ-002,2024-09-09,Correctivo,Sensores,Alta,Sensor SpO2 descalibrado,450.96,J. Ramírez,Alta,5.4,Operativo
R00132,EQ-002,2024-09-24,Correctivo,Software,Alta,Error de comunicación,,L. Quispe,Alta,4.1,En observación
R00079,EQ-002,2024-10-07,Preventivo,—,Programado,Mantenimiento preventivo programado,177.11,L. Quispe,Baja,0.7,Operativo
R00080,EQ-002,2025-01-08,Preventivo,—,Programado,Mantenimiento preventivo programado,135.11,J. Ramírez,Baja,0.7,Operativo
R00112,EQ-002,2025-01-19,Correctivo,Desgaste,Alta,Componente al final de vida útil,371.93,J. Ramírez,Alta,5.7,Operativo
R00114,EQ-002,2025-03-09,Correctivo,Sensores,Alta,Sensor SpO2 descalibrado,767.99,M. Torres,Alta,2.5,Operativo
R00081,EQ-002,2025-04-09,Preventivo,—,Programado,Mantenimiento preventivo programado,111.99,A. Flores,Baja,0.6,Operativo
R00092,EQ-002,2025-05-20,Correctivo,Eléctrica,Baja,Falla en cargador,363.37,L. Quispe,Baja,2.6,Operativo
R00108,EQ-002,2025-06-29,Correctivo,Calibración,Media,Ajuste de cero requerido,248.19,M. Torres,Media,7.1,Operativo
R00118,EQ-002,2025-07-14,Correctivo,Sensores,Media,Error de lectura de presión,185.92,L. Quispe,Media,4.6,Operativo
R00082,EQ-002,2025-07-17,Preventivo,—,Programado,Mantenimiento preventivo programado,69.19,M. Torres,Baja,0.8,Operativo
R00125,EQ-002,2025-08-27,Correctivo,Software,Media,Pantalla congelada,52.64,M. Torres,Media,5.7,En observación
R00110,EQ-002,2025-10-16,Correctivo,Eléctrica,Media,Falla en fuente de poder,593.17,M. Torres,Media,5.9,Operativo
R00083,EQ-002,2025-10-23,Preventivo,—,Programado,Mantenimiento preventivo programado,170.35,J. Ramírez,Baja,1.5,Operativo
R00088,EQ-002,2025-10-30,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,601.46,M. Torres,Alta,4.2,En observación
R00095,EQ-002,2025-10-31,Correctivo,Eléctrica,Alta,Falla en fuente de poder,590.67,A. Flores,Alta,7.1,Operativo
R00098,EQ-002,2025-11-15,Correctivo,Eléctrica,Media,Batería agotada,121.39,L. Quispe,Media,6.8,En observación
R00122,EQ-002,2025-12-25,Correctivo,Eléctrica,Alta,Fusible quemado,123.75,J. Ramírez,Alta,1.4,Operativo
R00084,EQ-002,2026-01-24,Preventivo,—,Programado,Mantenimiento preventivo programado,65.37,J. Ramírez,Baja,1.5,Operativo
R00128,EQ-002,2026-02-21,Correctivo,Desgaste,Alta,Acumulación de horas de uso,580.29,J. Ramírez,Alta,6.2,Operativo
R00105,EQ-002,2026-04-14,Correctivo,Eléctrica,Alta,Falla en fuente de poder,302.88,L. Quispe,Alta,7.0,Operativo
R00094,EQ-002,2026-04-19,Correctivo,Sensores,Alta,Sensor SpO2 descalibrado,1039.75,M. Torres,Alta,4.7,En observación
R00085,EQ-002,2026-04-30,Preventivo,—,Programado,Mantenimiento preventivo programado,135.66,J. Ramírez,Baja,1.8,Operativo
R00133,EQ-003,2022-02-01,Preventivo,—,Programado,Mantenimiento preventivo programado,92.23,A. Flores,Baja,1.9,Operativo
R00193,EQ-003,2022-04-05,Correctivo,Sensores,Alta,Termistor fuera de rango,,L. Quispe,Alta,7.6,En observación
R00165,EQ-003,2022-04-20,Correctivo,Eléctrica,Alta,Falla en fuente de poder,92.1,L. Quispe,Alta,6.3,Operativo
R00134,EQ-003,2022-05-07,Preventivo,—,Programado,Mantenimiento preventivo programado,143.0,L. Quispe,Baja,0.8,Operativo
R00180,EQ-003,2022-07-24,Correctivo,Calibración,Baja,Desviación de medición,62.06,M. Torres,Baja,1.3,En observación
R00135,EQ-003,2022-08-08,Preventivo,—,Programado,Mantenimiento preventivo programado,92.97,M. Torres,Baja,1.6,Operativo
R00171,EQ-003,2022-08-28,Correctivo,Eléctrica,Alta,Falla en fuente de poder,252.03,A. Flores,Alta,7.6,En observación
R00168,EQ-003,2022-09-08,Correctivo,Mecánica,Alta,Holgura en soporte,822.85,A. Flores,Alta,4.7,Operativo
R00188,EQ-003,2022-09-11,Correctivo,Eléctrica,Alta,Falla en cargador,524.94,L. Quispe,Alta,6.8,Operativo
R00174,EQ-003,2022-10-16,Correctivo,Calibración,Media,Ajuste de cero requerido,199.99,A. Flores,Media,6.4,Operativo
R00158,EQ-003,2022-10-29,Correctivo,Eléctrica,Baja,Cortocircuito en placa,324.89,J. Ramírez,Baja,7.3,Operativo
R00184,EQ-003,2022-11-04,Correctivo,Eléctrica,Alta,Falla en fuente de poder,264.69,J. Ramírez,Alta,2.3,En observación
R00136,EQ-003,2022-11-10,Preventivo,—,Programado,Mantenimiento preventivo programado,130.59,L. Quispe,Baja,0.6,Operativo
R00160,EQ-003,2022-11-29,Correctivo,Sensores,Alta,Sensor SpO2 descalibrado,619.92,M. Torres,Alta,7.1,Operativo
R00181,EQ-003,2022-12-30,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,571.86,M. Torres,Alta,3.0,En observación
R00137,EQ-003,2023-01-31,Preventivo,—,Programado,Mantenimiento preventivo programado,94.15,J. Ramírez,Baja,1.1,Operativo
R00166,EQ-003,2023-03-02,Correctivo,Eléctrica,Baja,Fusible quemado,158.06,L. Quispe,Baja,4.1,Operativo
R00182,EQ-003,2023-03-04,Correctivo,Eléctrica,Alta,Batería agotada,547.63,J. Ramírez,Alta,2.0,Operativo
R00163,EQ-003,2023-03-11,Correctivo,Desgaste,Alta,Componente al final de vida útil,302.59,L. Quispe,Alta,5.9,En observación
R00138,EQ-003,2023-05-07,Preventivo,—,Programado,Mantenimiento preventivo programado,130.93,M. Torres,Baja,1.4,Operativo
R00164,EQ-003,2023-05-19,Correctivo,Software,Alta,Pantalla congelada,212.09,L. Quispe,Alta,2.4,En observación
R00196,EQ-003,2023-06-14,Correctivo,Eléctrica,Media,Fusible quemado,87.15,M. Torres,Media,4.1,Operativo
R00156,EQ-003,2023-07-01,Correctivo,Eléctrica,Media,Cortocircuito en placa,512.57,A. Flores,Media,5.3,Operativo
R00139,EQ-003,2023-07-29,Preventivo,—,Programado,Mantenimiento preventivo programado,104.83,A. Flores,Baja,1.4,Operativo
R00186,EQ-003,2023-08-16,Correctivo,Sensores,Media,Termistor fuera de rango,372.73,J. Ramírez,Media,2.9,Operativo
R00177,EQ-003,2023-08-20,Correctivo,Desgaste,Alta,Filtro saturado,251.64,J. Ramírez,Alta,3.5,Operativo
R00176,EQ-003,2023-08-22,Correctivo,Eléctrica,Alta,Falla en fuente de poder,,L. Quispe,Alta,2.3,Operativo
R00189,EQ-003,2023-10-06,Correctivo,Calibración,Alta,Ajuste de cero requerido,192.97,A. Flores,Alta,5.4,Operativo
R00140,EQ-003,2023-10-21,Preventivo,—,Programado,Mantenimiento preventivo programado,75.78,M. Torres,Baja,1.1,Operativo
R00159,EQ-003,2023-11-07,Correctivo,Eléctrica,Alta,Falla en fuente de poder,207.52,J. Ramírez,Alta,1.9,Operativo
R00192,EQ-003,2023-11-29,Correctivo,Eléctrica,Alta,Falla en cargador,445.85,M. Torres,Alta,2.5,Operativo
R00175,EQ-003,2023-12-12,Correctivo,Eléctrica,Baja,Cortocircuito en placa,372.72,J. Ramírez,Baja,1.0,Operativo
R00141,EQ-003,2024-01-15,Preventivo,—,Programado,Mantenimiento preventivo programado,124.71,A. Flores,Baja,1.5,Operativo
R00151,EQ-003,2024-01-30,Correctivo,Eléctrica,Media,Fusible quemado,542.47,M. Torres,Media,5.9,Operativo
R00173,EQ-003,2024-02-06,Correctivo,Eléctrica,Alta,Falla en fuente de poder,484.93,A. Flores,Alta,2.3,Operativo
R00142,EQ-003,2024-04-22,Preventivo,—,Programado,Mantenimiento preventivo programado,172.69,M. Torres,Baja,0.6,Operativo
R00167,EQ-003,2024-05-08,Correctivo,Eléctrica,Alta,Fusible quemado,259.42,A. Flores,Alta,6.9,Operativo
R00143,EQ-003,2024-07-11,Preventivo,—,Programado,Mantenimiento preventivo programado,93.59,J. Ramírez,Baja,0.7,Operativo
R00162,EQ-003,2024-08-24,Correctivo,Calibración,Alta,Ajuste de cero requerido,293.2,J. Ramírez,Alta,5.4,Operativo
R00183,EQ-003,2024-09-01,Correctivo,Eléctrica,Alta,Batería agotada,377.38,J. Ramírez,Alta,2.7,Operativo
R00170,EQ-003,2024-10-07,Correctivo,Desgaste,Alta,Acumulación de horas de uso,670.29,M. Torres,Alta,2.9,Operativo
R00144,EQ-003,2024-10-12,Preventivo,—,Programado,Mantenimiento preventivo programado,153.06,M. Torres,Baja,2.0,Operativo
R00152,EQ-003,2024-10-16,Correctivo,Eléctrica,Alta,Fusible quemado,196.76,A. Flores,Alta,6.6,Operativo
R00145,EQ-003,2025-01-08,Preventivo,—,Programado,Mantenimiento preventivo programado,119.81,L. Quispe,Baja,1.6,Operativo
R00155,EQ-003,2025-01-21,Correctivo,Calibración,Alta,Calibración vencida,221.42,A. Flores,Alta,7.9,En observación
R00190,EQ-003,2025-03-12,Correctivo,Mecánica,Alta,Obstrucción de circuito,635.19,J. Ramírez,Alta,7.6,Operativo
R00146,EQ-003,2025-04-03,Preventivo,—,Programado,Mantenimiento preventivo programado,76.6,J. Ramírez,Baja,1.4,Operativo
R00191,EQ-003,2025-06-23,Correctivo,Eléctrica,Alta,Cortocircuito en placa,552.74,A. Flores,Alta,7.5,Operativo
R00147,EQ-003,2025-06-24,Preventivo,—,Programado,Mantenimiento preventivo programado,121.95,A. Flores,Baja,1.8,Operativo
R00187,EQ-003,2025-08-18,Correctivo,Calibración,Baja,Desviación de medición,279.3,J. Ramírez,Baja,7.0,Operativo
R00195,EQ-003,2025-08-23,Correctivo,Calibración,Media,Desviación de medición,61.0,J. Ramírez,Media,4.8,Operativo
R00148,EQ-003,2025-09-12,Preventivo,—,Programado,Mantenimiento preventivo programado,95.99,J. Ramírez,Baja,0.6,Operativo
R00185,EQ-003,2025-10-15,Correctivo,Calibración,Alta,Desviación de medición,191.96,L. Quispe,Alta,7.6,Operativo
R00161,EQ-003,2025-10-18,Correctivo,Eléctrica,Media,Cortocircuito en placa,383.45,A. Flores,Media,4.8,Operativo
R00172,EQ-003,2025-10-19,Correctivo,Eléctrica,Alta,Falla en cargador,511.13,L. Quispe,Alta,5.2,En observación
R00157,EQ-003,2025-10-24,Correctivo,Mecánica,Alta,Obstrucción de circuito,393.43,A. Flores,Alta,5.6,Operativo
R00179,EQ-003,2025-11-10,Correctivo,Eléctrica,Media,Fusible quemado,,J. Ramírez,Media,4.9,Operativo
R00178,EQ-003,2025-11-13,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,1125.7,A. Flores,Alta,4.5,Operativo
R00149,EQ-003,2025-12-15,Preventivo,—,Programado,Mantenimiento preventivo programado,76.36,L. Quispe,Baja,1.1,Operativo
R00194,EQ-003,2026-02-06,Correctivo,Calibración,Media,Desviación de medición,69.78,A. Flores,Media,2.6,En observación
R00169,EQ-003,2026-03-10,Correctivo,Eléctrica,Alta,Falla en fuente de poder,451.75,A. Flores,Alta,4.3,Operativo
R00150,EQ-003,2026-03-23,Preventivo,—,Programado,Mantenimiento preventivo programado,134.42,A. Flores,Baja,1.1,Operativo
R00154,EQ-003,2026-04-08,Correctivo,Desgaste,Alta,Acumulación de horas de uso,664.06,J. Ramírez,Alta,4.8,En observación
R00153,EQ-003,2026-05-28,Correctivo,Desgaste,Alta,Filtro saturado,775.46,J. Ramírez,Alta,4.5,Operativo
R00197,EQ-004,2022-01-22,Preventivo,—,Programado,Mantenimiento preventivo programado,149.39,L. Quispe,Baja,1.3,Operativo
R00230,EQ-004,2022-02-25,Correctivo,Desgaste,Alta,Filtro saturado,129.54,J. Ramírez,Alta,7.8,Operativo
R00253,EQ-004,2022-03-18,Correctivo,Mecánica,Alta,Falla en bomba peristáltica,389.91,M. Torres,Alta,5.5,Operativo
R00233,EQ-004,2022-03-20,Correctivo,Eléctrica,Alta,Falla en cargador,209.26,J. Ramírez,Alta,4.5,Operativo
R00234,EQ-004,2022-04-02,Correctivo,Sensores,Media,Sensor SpO2 descalibrado,238.83,J. Ramírez,Media,4.1,Operativo
R00226,EQ-004,2022-04-23,Correctivo,Calibración,Media,Desviación de medición,190.4,J. Ramírez,Media,4.8,Operativo
R00198,EQ-004,2022-05-01,Preventivo,—,Programado,Mantenimiento preventivo programado,118.38,L. Quispe,Baja,1.1,Operativo
R00229,EQ-004,2022-07-03,Correctivo,Calibración,Media,Calibración vencida,207.67,A. Flores,Media,4.9,Operativo
R00199,EQ-004,2022-07-31,Preventivo,—,Programado,Mantenimiento preventivo programado,150.38,L. Quispe,Baja,0.8,Operativo
R00240,EQ-004,2022-09-12,Correctivo,Sensores,Alta,Error de lectura de presión,484.28,A. Flores,Alta,2.4,Operativo
R00200,EQ-004,2022-10-26,Preventivo,—,Programado,Mantenimiento preventivo programado,62.79,A. Flores,Baja,0.6,Operativo
R00247,EQ-004,2022-11-02,Correctivo,Desgaste,Media,Componente al final de vida útil,434.09,J. Ramírez,Media,3.9,En observación
